date,iv_30d_atm,iv_3m_atm
2008-12-26,39.0602,40.8251
2008-12-29,39.6858,41.1678
2008-12-30,36.9377,39.2623
2008-12-31,34.6381,37.5112
2009-01-02,33.0976,35.2785
2009-01-05,34.3598,35.5443
2009-01-06,33.5063,34.8543
2009-01-07,37.9892,38.2748
2009-01-08,37.1647,38.0152
2009-01-09,37.3707,38.5983
2009-01-12,41.2196,41.2528
2009-01-13,39.4994,40.6315
2009-01-14,43.0624,44.0351
2009-01-15,42.4279,43.7368
2009-01-16,39.3579,42.1237
2009-01-20,48.9051,48.0505
2009-01-21,40.881,43.4947
2009-01-22,41.1157,43.2038
2009-01-23,40.3744,42.2473
2009-01-26,38.5873,40.6476
2009-01-27,36.1141,38.861
2009-01-28,34.6615,36.2452
2009-01-29,36.5607,37.482
2009-01-30,39.5524,39.0994
2009-02-02,39.2815,38.6598
2009-02-03,36.0408,36.5517
2009-02-04,37.3052,36.9609
2009-02-05,36.6801,36.5376
2009-02-06,36.5568,35.8758
2009-02-09,37.1145,36.3639
2009-02-10,41.5357,39.6014
2009-02-11,38.5422,37.9048
2009-02-12,38.7809,38.4617
2009-02-13,36.3045,36.5277
2009-02-17,41.0876,39.5254
2009-02-18,41.2482,39.6911
2009-02-19,40.5269,39.6456
2009-02-20,42.5682,40.843
2009-02-23,46.5564,43.5999
2009-02-24,39.8824,39.0137
2009-02-25,38.5904,38.612
2009-02-26,40.6361,39.9569
2009-02-27,41.0489,39.6774
2009-03-02,47.1836,43.9565
2009-03-03,44.5307,42.1813
2009-03-04,40.0297,38.2975
2009-03-05,45.2772,41.7478
2009-03-06,46.2668,43.0963
2009-03-09,44.9408,41.7684
2009-03-10,40.1792,38.0494
2009-03-11,39.3587,38.3002
2009-03-12,37.5609,37.0331
2009-03-13,38.4031,37.7583
2009-03-16,38.8746,38.1638
2009-03-17,36.6941,37.0383
2009-03-18,36.408,36.5854
2009-03-19,38.6433,38.8128
2009-03-20,40.5555,41.1702
2009-03-23,37.1897,37.6019
2009-03-24,38.0832,38.1762
2009-03-25,39.0233,38.5992
2009-03-26,36.4202,36.8062
2009-03-27,37.1521,37.8218
2009-03-30,41.0173,40.9109
2009-03-31,38.6781,39.5128
2009-04-01,38.3432,39.5473
2009-04-02,38.3158,38.5223
2009-04-03,36.7465,38.1588
2009-04-06,37.48,38.422
2009-04-07,37.0848,38.7587
2009-04-08,36.4313,37.5914
2009-04-09,34.8955,36.2753
2009-04-13,34.8452,35.8873
2009-04-14,34.9342,36.0312
